"shapeid","x","y","label","scene"
"81","1500.0","-900.0","not-cervo","DSC00049_est1"
"82","1800.0","-900.0","not-cervo","DSC00049_est1"
"83","2100.0","-900.0","not-cervo","DSC00049_est1"
"84","2400.0","-900.0","not-cervo","DSC00049_est1"
"85","2700.0","-900.0","not-cervo","DSC00049_est1"
"86","3000.0","-900.0","not-cervo","DSC00049_est1"
"87","3300.0","-900.0","not-cervo","DSC00049_est1"
"88","3600.0","-900.0","not-cervo","DSC00049_est1"
"89","3900.0","-900.0","not-cervo","DSC00049_est1"
"90","4200.0","-900.0","not-cervo","DSC00049_est1"
"91","4500.0","-900.0","not-cervo","DSC00049_est1"
"92","4800.0","-900.0","not-cervo","DSC00049_est1"
"93","5100.0","-900.0","not-cervo","DSC00049_est1"
"94","5400.0","-900.0","not-cervo","DSC00049_est1"
"95","5700.0","-900.0","not-cervo","DSC00049_est1"
"96","6000.0","-900.0","not-cervo","DSC00049_est1"
"97","6300.0","-900.0","not-cervo","DSC00049_est1"
"98","6600.0","-900.0","not-cervo","DSC00049_est1"
"99","6900.0","-900.0","not-cervo","DSC00049_est1"
"100","7200.0","-900.0","not-cervo","DSC00049_est1"
"101","0.0","-1200.0","not-cervo","DSC00049_est1"
"102","300.0","-1200.0","not-cervo","DSC00049_est1"
"103","600.0","-1200.0","not-cervo","DSC00049_est1"
"104","900.0","-1200.0","not-cervo","DSC00049_est1"
"105","1200.0","-1200.0","not-cervo","DSC00049_est1"
"106","1500.0","-1200.0","not-cervo","DSC00049_est1"
"107","1800.0","-1200.0","not-cervo","DSC00049_est1"
"108","2100.0","-1200.0","not-cervo","DSC00049_est1"
"109","2400.0","-1200.0","not-cervo","DSC00049_est1"
"110","2700.0","-1200.0","not-cervo","DSC00049_est1"
"111","3000.0","-1200.0","not-cervo","DSC00049_est1"
"112","3300.0","-1200.0","not-cervo","DSC00049_est1"
"113","3600.0","-1200.0","not-cervo","DSC00049_est1"
"114","3900.0","-1200.0","not-cervo","DSC00049_est1"
"115","4200.0","-1200.0","not-cervo","DSC00049_est1"
"116","4500.0","-1200.0","not-cervo","DSC00049_est1"
"117","4800.0","-1200.0","not-cervo","DSC00049_est1"
"118","5100.0","-1200.0","not-cervo","DSC00049_est1"
"119","5400.0","-1200.0","not-cervo","DSC00049_est1"
"120","5700.0","-1200.0","not-cervo","DSC00049_est1"
"121","6000.0","-1200.0","not-cervo","DSC00049_est1"
"122","6300.0","-1200.0","not-cervo","DSC00049_est1"
"123","6600.0","-1200.0","not-cervo","DSC00049_est1"
"124","6900.0","-1200.0","not-cervo","DSC00049_est1"
"125","7200.0","-1200.0","not-cervo","DSC00049_est1"
"126","0.0","-1500.0","not-cervo","DSC00049_est1"
"127","300.0","-1500.0","not-cervo","DSC00049_est1"
"128","600.0","-1500.0","not-cervo","DSC00049_est1"
"129","900.0","-1500.0","not-cervo","DSC00049_est1"
"130","1200.0","-1500.0","not-cervo","DSC00049_est1"
"131","1500.0","-1500.0","not-cervo","DSC00049_est1"
"132","1800.0","-1500.0","not-cervo","DSC00049_est1"
"133","2100.0","-1500.0","not-cervo","DSC00049_est1"
"134","2400.0","-1500.0","not-cervo","DSC00049_est1"
"135","2700.0","-1500.0","not-cervo","DSC00049_est1"
"136","3000.0","-1500.0","not-cervo","DSC00049_est1"
"137","3300.0","-1500.0","not-cervo","DSC00049_est1"
"138","3600.0","-1500.0","not-cervo","DSC00049_est1"
"139","3900.0","-1500.0","not-cervo","DSC00049_est1"
"140","4200.0","-1500.0","not-cervo","DSC00049_est1"
"141","4500.0","-1500.0","not-cervo","DSC00049_est1"
"142","4800.0","-1500.0","not-cervo","DSC00049_est1"
"143","5100.0","-1500.0","not-cervo","DSC00049_est1"
"144","5400.0","-1500.0","not-cervo","DSC00049_est1"
"145","5700.0","-1500.0","not-cervo","DSC00049_est1"
"146","6000.0","-1500.0","not-cervo","DSC00049_est1"
"147","6300.0","-1500.0","not-cervo","DSC00049_est1"
"148","6600.0","-1500.0","not-cervo","DSC00049_est1"
"149","6900.0","-1500.0","not-cervo","DSC00049_est1"
"150","7200.0","-1500.0","not-cervo","DSC00049_est1"
"151","0.0","-1800.0","not-cervo","DSC00049_est1"
"152","300.0","-1800.0","not-cervo","DSC00049_est1"
"153","600.0","-1800.0","not-cervo","DSC00049_est1"
"154","900.0","-1800.0","not-cervo","DSC00049_est1"
"155","1200.0","-1800.0","not-cervo","DSC00049_est1"
"156","1500.0","-1800.0","not-cervo","DSC00049_est1"
"157","1800.0","-1800.0","not-cervo","DSC00049_est1"
"158","2100.0","-1800.0","not-cervo","DSC00049_est1"
"159","2400.0","-1800.0","not-cervo","DSC00049_est1"
"160","2700.0","-1800.0","not-cervo","DSC00049_est1"
"161","3000.0","-1800.0","not-cervo","DSC00049_est1"
"162","3300.0","-1800.0","not-cervo","DSC00049_est1"
"163","3600.0","-1800.0","not-cervo","DSC00049_est1"
"164","3900.0","-1800.0","not-cervo","DSC00049_est1"
"165","4200.0","-1800.0","not-cervo","DSC00049_est1"
"166","4500.0","-1800.0","not-cervo","DSC00049_est1"
"167","4800.0","-1800.0","not-cervo","DSC00049_est1"
"168","5100.0","-1800.0","not-cervo","DSC00049_est1"
"169","5400.0","-1800.0","not-cervo","DSC00049_est1"
"170","5700.0","-1800.0","not-cervo","DSC00049_est1"
"171","6000.0","-1800.0","not-cervo","DSC00049_est1"
"172","6300.0","-1800.0","not-cervo","DSC00049_est1"
"173","6600.0","-1800.0","not-cervo","DSC00049_est1"
"174","6900.0","-1800.0","not-cervo","DSC00049_est1"
"175","7200.0","-1800.0","not-cervo","DSC00049_est1"
"176","0.0","-2100.0","not-cervo","DSC00049_est1"
"177","300.0","-2100.0","not-cervo","DSC00049_est1"
"178","600.0","-2100.0","not-cervo","DSC00049_est1"
"179","900.0","-2100.0","not-cervo","DSC00049_est1"
"180","1200.0","-2100.0","not-cervo","DSC00049_est1"
"181","1500.0","-2100.0","not-cervo","DSC00049_est1"
"182","1800.0","-2100.0","not-cervo","DSC00049_est1"
"183","2100.0","-2100.0","not-cervo","DSC00049_est1"
"184","2400.0","-2100.0","not-cervo","DSC00049_est1"
"185","2700.0","-2100.0","not-cervo","DSC00049_est1"
"186","3000.0","-2100.0","not-cervo","DSC00049_est1"
"187","3300.0","-2100.0","not-cervo","DSC00049_est1"
"188","3600.0","-2100.0","not-cervo","DSC00049_est1"
"189","3900.0","-2100.0","not-cervo","DSC00049_est1"
"190","4200.0","-2100.0","not-cervo","DSC00049_est1"
"191","4500.0","-2100.0","not-cervo","DSC00049_est1"
"192","4800.0","-2100.0","not-cervo","DSC00049_est1"
"193","5100.0","-2100.0","not-cervo","DSC00049_est1"
"194","5400.0","-2100.0","not-cervo","DSC00049_est1"
"195","5700.0","-2100.0","not-cervo","DSC00049_est1"
"196","6000.0","-2100.0","not-cervo","DSC00049_est1"
"197","6300.0","-2100.0","not-cervo","DSC00049_est1"
"198","6600.0","-2100.0","not-cervo","DSC00049_est1"
"199","6900.0","-2100.0","not-cervo","DSC00049_est1"
"200","7200.0","-2100.0","not-cervo","DSC00049_est1"
"201","0.0","-2400.0","not-cervo","DSC00049_est1"
"202","300.0","-2400.0","not-cervo","DSC00049_est1"
"203","600.0","-2400.0","not-cervo","DSC00049_est1"
"204","900.0","-2400.0","not-cervo","DSC00049_est1"
"205","1200.0","-2400.0","not-cervo","DSC00049_est1"
"206","1500.0","-2400.0","not-cervo","DSC00049_est1"
"207","1800.0","-2400.0","not-cervo","DSC00049_est1"
"208","2100.0","-2400.0","not-cervo","DSC00049_est1"
"209","2400.0","-2400.0","not-cervo","DSC00049_est1"
"210","2700.0","-2400.0","not-cervo","DSC00049_est1"
"211","3000.0","-2400.0","not-cervo","DSC00049_est1"
"212","3300.0","-2400.0","not-cervo","DSC00049_est1"
"213","3600.0","-2400.0","not-cervo","DSC00049_est1"
"214","3900.0","-2400.0","not-cervo","DSC00049_est1"
"215","4200.0","-2400.0","not-cervo","DSC00049_est1"
"216","4500.0","-2400.0","not-cervo","DSC00049_est1"
"217","4800.0","-2400.0","not-cervo","DSC00049_est1"
"218","5100.0","-2400.0","not-cervo","DSC00049_est1"
"219","5400.0","-2400.0","not-cervo","DSC00049_est1"
"220","5700.0","-2400.0","not-cervo","DSC00049_est1"
"221","6000.0","-2400.0","not-cervo","DSC00049_est1"
"222","6300.0","-2400.0","not-cervo","DSC00049_est1"
"223","6600.0","-2400.0","not-cervo","DSC00049_est1"
"224","6900.0","-2400.0","not-cervo","DSC00049_est1"
"225","7200.0","-2400.0","not-cervo","DSC00049_est1"
"226","0.0","-2700.0","not-cervo","DSC00049_est1"
"227","300.0","-2700.0","not-cervo","DSC00049_est1"
"228","600.0","-2700.0","not-cervo","DSC00049_est1"
"229","900.0","-2700.0","not-cervo","DSC00049_est1"
"230","1200.0","-2700.0","not-cervo","DSC00049_est1"
"231","1500.0","-2700.0","not-cervo","DSC00049_est1"
"232","1800.0","-2700.0","not-cervo","DSC00049_est1"
"233","2100.0","-2700.0","not-cervo","DSC00049_est1"
"234","2400.0","-2700.0","not-cervo","DSC00049_est1"
"235","2700.0","-2700.0","not-cervo","DSC00049_est1"
"236","3000.0","-2700.0","not-cervo","DSC00049_est1"
"237","3300.0","-2700.0","not-cervo","DSC00049_est1"
"238","3600.0","-2700.0","not-cervo","DSC00049_est1"
"239","6300.0","-2700.0","not-cervo","DSC00049_est1"
"240","6600.0","-2700.0","not-cervo","DSC00049_est1"
"241","6900.0","-2700.0","not-cervo","DSC00049_est1"
"242","7200.0","-2700.0","not-cervo","DSC00049_est1"
"243","0.0","-3000.0","not-cervo","DSC00049_est1"
"244","300.0","-3000.0","not-cervo","DSC00049_est1"
"245","600.0","-3000.0","not-cervo","DSC00049_est1"
"246","900.0","-3000.0","not-cervo","DSC00049_est1"
"247","1200.0","-3000.0","not-cervo","DSC00049_est1"
"248","1500.0","-3000.0","not-cervo","DSC00049_est1"
"249","1800.0","-3000.0","not-cervo","DSC00049_est1"
"250","2100.0","-3000.0","not-cervo","DSC00049_est1"
"251","2400.0","-3000.0","not-cervo","DSC00049_est1"
"252","2700.0","-3000.0","not-cervo","DSC00049_est1"
"253","3000.0","-3000.0","not-cervo","DSC00049_est1"
"254","3300.0","-3000.0","not-cervo","DSC00049_est1"
"255","3600.0","-3000.0","not-cervo","DSC00049_est1"
"256","6300.0","-3000.0","not-cervo","DSC00049_est1"
"257","6600.0","-3000.0","not-cervo","DSC00049_est1"
"258","6900.0","-3000.0","not-cervo","DSC00049_est1"
"259","7200.0","-3000.0","not-cervo","DSC00049_est1"
"260","0.0","-3300.0","not-cervo","DSC00049_est1"
"261","300.0","-3300.0","not-cervo","DSC00049_est1"
"262","600.0","-3300.0","not-cervo","DSC00049_est1"
"263","900.0","-3300.0","not-cervo","DSC00049_est1"
"264","1200.0","-3300.0","not-cervo","DSC00049_est1"
"265","1500.0","-3300.0","not-cervo","DSC00049_est1"
"266","1800.0","-3300.0","not-cervo","DSC00049_est1"
"267","2100.0","-3300.0","not-cervo","DSC00049_est1"
"268","2400.0","-3300.0","not-cervo","DSC00049_est1"
"269","2700.0","-3300.0","not-cervo","DSC00049_est1"
"270","3000.0","-3300.0","not-cervo","DSC00049_est1"
"271","3300.0","-3300.0","not-cervo","DSC00049_est1"
"272","3600.0","-3300.0","not-cervo","DSC00049_est1"
"273","6300.0","-3300.0","not-cervo","DSC00049_est1"
"274","6600.0","-3300.0","not-cervo","DSC00049_est1"
"275","6900.0","-3300.0","not-cervo","DSC00049_est1"
"276","7200.0","-3300.0","not-cervo","DSC00049_est1"
"277","0.0","-3600.0","not-cervo","DSC00049_est1"
"278","300.0","-3600.0","not-cervo","DSC00049_est1"
"279","600.0","-3600.0","not-cervo","DSC00049_est1"
"280","900.0","-3600.0","not-cervo","DSC00049_est1"
"281","1200.0","-3600.0","not-cervo","DSC00049_est1"
"282","1500.0","-3600.0","not-cervo","DSC00049_est1"
"283","1800.0","-3600.0","not-cervo","DSC00049_est1"
"284","2100.0","-3600.0","not-cervo","DSC00049_est1"
"285","2400.0","-3600.0","not-cervo","DSC00049_est1"
"286","2700.0","-3600.0","not-cervo","DSC00049_est1"
"287","3000.0","-3600.0","not-cervo","DSC00049_est1"
"288","3300.0","-3600.0","not-cervo","DSC00049_est1"
"289","3600.0","-3600.0","not-cervo","DSC00049_est1"
"290","6300.0","-3600.0","not-cervo","DSC00049_est1"
"291","6600.0","-3600.0","not-cervo","DSC00049_est1"
"292","6900.0","-3600.0","not-cervo","DSC00049_est1"
"293","7200.0","-3600.0","not-cervo","DSC00049_est1"
"294","0.0","-3900.0","not-cervo","DSC00049_est1"
"295","300.0","-3900.0","not-cervo","DSC00049_est1"
"296","600.0","-3900.0","not-cervo","DSC00049_est1"
"297","900.0","-3900.0","not-cervo","DSC00049_est1"
"298","1200.0","-3900.0","not-cervo","DSC00049_est1"
"299","1500.0","-3900.0","not-cervo","DSC00049_est1"
"300","1800.0","-3900.0","not-cervo","DSC00049_est1"
"301","2100.0","-3900.0","not-cervo","DSC00049_est1"
"302","2400.0","-3900.0","not-cervo","DSC00049_est1"
"303","2700.0","-3900.0","not-cervo","DSC00049_est1"
"304","3000.0","-3900.0","not-cervo","DSC00049_est1"
"305","3300.0","-3900.0","not-cervo","DSC00049_est1"
"306","3600.0","-3900.0","not-cervo","DSC00049_est1"
"307","6300.0","-3900.0","not-cervo","DSC00049_est1"
"308","6600.0","-3900.0","not-cervo","DSC00049_est1"
"309","6900.0","-3900.0","not-cervo","DSC00049_est1"
"310","7200.0","-3900.0","not-cervo","DSC00049_est1"
"311","0.0","-4200.0","not-cervo","DSC00049_est1"
"312","300.0","-4200.0","not-cervo","DSC00049_est1"
"313","600.0","-4200.0","not-cervo","DSC00049_est1"
"314","900.0","-4200.0","not-cervo","DSC00049_est1"
"315","1200.0","-4200.0","not-cervo","DSC00049_est1"
"316","1500.0","-4200.0","not-cervo","DSC00049_est1"
"317","1800.0","-4200.0","not-cervo","DSC00049_est1"
"318","2100.0","-4200.0","not-cervo","DSC00049_est1"
"319","2400.0","-4200.0","not-cervo","DSC00049_est1"
"320","2700.0","-4200.0","not-cervo","DSC00049_est1"
"321","3000.0","-4200.0","not-cervo","DSC00049_est1"
"322","3300.0","-4200.0","not-cervo","DSC00049_est1"
"323","3600.0","-4200.0","not-cervo","DSC00049_est1"
"324","6300.0","-4200.0","not-cervo","DSC00049_est1"
"325","6600.0","-4200.0","not-cervo","DSC00049_est1"
"326","6900.0","-4200.0","not-cervo","DSC00049_est1"
"327","7200.0","-4200.0","not-cervo","DSC00049_est1"
"328","0.0","-4500.0","not-cervo","DSC00049_est1"
"329","300.0","-4500.0","not-cervo","DSC00049_est1"
"330","600.0","-4500.0","not-cervo","DSC00049_est1"
"331","900.0","-4500.0","not-cervo","DSC00049_est1"
"332","1200.0","-4500.0","not-cervo","DSC00049_est1"
"333","1500.0","-4500.0","not-cervo","DSC00049_est1"
"334","1800.0","-4500.0","not-cervo","DSC00049_est1"
"335","2100.0","-4500.0","not-cervo","DSC00049_est1"
"336","2400.0","-4500.0","not-cervo","DSC00049_est1"
"337","2700.0","-4500.0","not-cervo","DSC00049_est1"
"338","3000.0","-4500.0","not-cervo","DSC00049_est1"
"339","3300.0","-4500.0","not-cervo","DSC00049_est1"
"340","3600.0","-4500.0","not-cervo","DSC00049_est1"
"341","3900.0","-4500.0","not-cervo","DSC00049_est1"
"342","4200.0","-4500.0","not-cervo","DSC00049_est1"
"343","4500.0","-4500.0","not-cervo","DSC00049_est1"
"344","4800.0","-4500.0","not-cervo","DSC00049_est1"
"345","5100.0","-4500.0","not-cervo","DSC00049_est1"
"346","5400.0","-4500.0","not-cervo","DSC00049_est1"
"347","5700.0","-4500.0","not-cervo","DSC00049_est1"
"348","6000.0","-4500.0","not-cervo","DSC00049_est1"
"349","6300.0","-4500.0","not-cervo","DSC00049_est1"
"350","6600.0","-4500.0","not-cervo","DSC00049_est1"
"351","6900.0","-4500.0","not-cervo","DSC00049_est1"
"352","7200.0","-4500.0","not-cervo","DSC00049_est1"
"353","0.0","-4800.0","not-cervo","DSC00049_est1"
"354","300.0","-4800.0","not-cervo","DSC00049_est1"
"355","600.0","-4800.0","not-cervo","DSC00049_est1"
"356","900.0","-4800.0","not-cervo","DSC00049_est1"
"357","1200.0","-4800.0","not-cervo","DSC00049_est1"
"358","1500.0","-4800.0","not-cervo","DSC00049_est1"
"359","1800.0","-4800.0","not-cervo","DSC00049_est1"
"360","2100.0","-4800.0","not-cervo","DSC00049_est1"
"361","2400.0","-4800.0","not-cervo","DSC00049_est1"
"362","2700.0","-4800.0","not-cervo","DSC00049_est1"
"363","3000.0","-4800.0","not-cervo","DSC00049_est1"
"364","3300.0","-4800.0","not-cervo","DSC00049_est1"
"365","3600.0","-4800.0","not-cervo","DSC00049_est1"
"366","3900.0","-4800.0","not-cervo","DSC00049_est1"
"367","4200.0","-4800.0","not-cervo","DSC00049_est1"
"368","4500.0","-4800.0","not-cervo","DSC00049_est1"
"369","4800.0","-4800.0","not-cervo","DSC00049_est1"
"370","5100.0","-4800.0","not-cervo","DSC00049_est1"
"371","5400.0","-4800.0","not-cervo","DSC00049_est1"
"372","5700.0","-4800.0","not-cervo","DSC00049_est1"
"373","6000.0","-4800.0","not-cervo","DSC00049_est1"
"374","6300.0","-4800.0","not-cervo","DSC00049_est1"
"375","6600.0","-4800.0","not-cervo","DSC00049_est1"
"376","6900.0","-4800.0","not-cervo","DSC00049_est1"
"377","7200.0","-4800.0","not-cervo","DSC00049_est1"
"378","2848.18264245","-3835.63959237","cervo","DSC00055_est3"
"379","0.0","0.0","not-cervo","DSC00055_est3"
"380","300.0","0.0","not-cervo","DSC00055_est3"
"381","600.0","0.0","not-cervo","DSC00055_est3"
"382","900.0","0.0","not-cervo","DSC00055_est3"
"383","1200.0","0.0","not-cervo","DSC00055_est3"
"384","1500.0","0.0","not-cervo","DSC00055_est3"
"385","1800.0","0.0","not-cervo","DSC00055_est3"
"386","2100.0","0.0","not-cervo","DSC00055_est3"
"387","2400.0","0.0","not-cervo","DSC00055_est3"
"388","2700.0","0.0","not-cervo","DSC00055_est3"
"389","3000.0","0.0","not-cervo","DSC00055_est3"
"390","3300.0","0.0","not-cervo","DSC00055_est3"
"391","3600.0","0.0","not-cervo","DSC00055_est3"
"392","3900.0","0.0","not-cervo","DSC00055_est3"
"393","4200.0","0.0","not-cervo","DSC00055_est3"
"394","4500.0","0.0","not-cervo","DSC00055_est3"
"395","4800.0","0.0","not-cervo","DSC00055_est3"
"396","5100.0","0.0","not-cervo","DSC00055_est3"
"397","5400.0","0.0","not-cervo","DSC00055_est3"
"398","5700.0","0.0","not-cervo","DSC00055_est3"
"399","6000.0","0.0","not-cervo","DSC00055_est3"
"400","6300.0","0.0","not-cervo","DSC00055_est3"
"401","6600.0","0.0","not-cervo","DSC00055_est3"
"402","6900.0","0.0","not-cervo","DSC00055_est3"
"403","7200.0","0.0","not-cervo","DSC00055_est3"
"404","0.0","-300.0","not-cervo","DSC00055_est3"
"405","300.0","-300.0","not-cervo","DSC00055_est3"
"406","600.0","-300.0","not-cervo","DSC00055_est3"
"407","900.0","-300.0","not-cervo","DSC00055_est3"
"408","1200.0","-300.0","not-cervo","DSC00055_est3"
"409","1500.0","-300.0","not-cervo","DSC00055_est3"
"410","1800.0","-300.0","not-cervo","DSC00055_est3"
"411","2100.0","-300.0","not-cervo","DSC00055_est3"
"412","2400.0","-300.0","not-cervo","DSC00055_est3"
"413","2700.0","-300.0","not-cervo","DSC00055_est3"
"414","3000.0","-300.0","not-cervo","DSC00055_est3"
"415","3300.0","-300.0","not-cervo","DSC00055_est3"
"416","3600.0","-300.0","not-cervo","DSC00055_est3"
"417","3900.0","-300.0","not-cervo","DSC00055_est3"
"418","4200.0","-300.0","not-cervo","DSC00055_est3"
"419","4500.0","-300.0","not-cervo","DSC00055_est3"
"420","4800.0","-300.0","not-cervo","DSC00055_est3"
"421","5100.0","-300.0","not-cervo","DSC00055_est3"
"422","5400.0","-300.0","not-cervo","DSC00055_est3"
"423","5700.0","-300.0","not-cervo","DSC00055_est3"
"424","6000.0","-300.0","not-cervo","DSC00055_est3"
"425","6300.0","-300.0","not-cervo","DSC00055_est3"
"426","6600.0","-300.0","not-cervo","DSC00055_est3"
"427","6900.0","-300.0","not-cervo","DSC00055_est3"
"428","7200.0","-300.0","not-cervo","DSC00055_est3"
"429","0.0","-600.0","not-cervo","DSC00055_est3"
"430","300.0","-600.0","not-cervo","DSC00055_est3"
"431","600.0","-600.0","not-cervo","DSC00055_est3"
"432","900.0","-600.0","not-cervo","DSC00055_est3"
"433","1200.0","-600.0","not-cervo","DSC00055_est3"
"434","1500.0","-600.0","not-cervo","DSC00055_est3"
"435","1800.0","-600.0","not-cervo","DSC00055_est3"
"436","2100.0","-600.0","not-cervo","DSC00055_est3"
"437","2400.0","-600.0","not-cervo","DSC00055_est3"
"438","2700.0","-600.0","not-cervo","DSC00055_est3"
"439","3000.0","-600.0","not-cervo","DSC00055_est3"
"440","3300.0","-600.0","not-cervo","DSC00055_est3"
"441","3600.0","-600.0","not-cervo","DSC00055_est3"
"442","3900.0","-600.0","not-cervo","DSC00055_est3"
"443","4200.0","-600.0","not-cervo","DSC00055_est3"
"444","4500.0","-600.0","not-cervo","DSC00055_est3"
"445","4800.0","-600.0","not-cervo","DSC00055_est3"
"446","5100.0","-600.0","not-cervo","DSC00055_est3"
"447","5400.0","-600.0","not-cervo","DSC00055_est3"
"448","5700.0","-600.0","not-cervo","DSC00055_est3"
"449","6000.0","-600.0","not-cervo","DSC00055_est3"
"450","6300.0","-600.0","not-cervo","DSC00055_est3"
"451","6600.0","-600.0","not-cervo","DSC00055_est3"
"452","6900.0","-600.0","not-cervo","DSC00055_est3"
"453","7200.0","-600.0","not-cervo","DSC00055_est3"
"454","0.0","-900.0","not-cervo","DSC00055_est3"
"455","300.0","-900.0","not-cervo","DSC00055_est3"
"456","600.0","-900.0","not-cervo","DSC00055_est3"
"457","900.0","-900.0","not-cervo","DSC00055_est3"
"458","1200.0","-900.0","not-cervo","DSC00055_est3"
"459","1500.0","-900.0","not-cervo","DSC00055_est3"
"460","1800.0","-900.0","not-cervo","DSC00055_est3"
"461","2100.0","-900.0","not-cervo","DSC00055_est3"
"462","2400.0","-900.0","not-cervo","DSC00055_est3"
"463","2700.0","-900.0","not-cervo","DSC00055_est3"
"464","3000.0","-900.0","not-cervo","DSC00055_est3"
"465","3300.0","-900.0","not-cervo","DSC00055_est3"
"466","3600.0","-900.0","not-cervo","DSC00055_est3"
"467","3900.0","-900.0","not-cervo","DSC00055_est3"
"468","4200.0","-900.0","not-cervo","DSC00055_est3"
"469","4500.0","-900.0","not-cervo","DSC00055_est3"
"470","4800.0","-900.0","not-cervo","DSC00055_est3"
"471","5100.0","-900.0","not-cervo","DSC00055_est3"
"472","5400.0","-900.0","not-cervo","DSC00055_est3"
"473","5700.0","-900.0","not-cervo","DSC00055_est3"
"474","6000.0","-900.0","not-cervo","DSC00055_est3"
"475","6300.0","-900.0","not-cervo","DSC00055_est3"
